OBJECTID,NomJardin,Index,NomArrond,RueN,RueS,RueE,RueO,N_Jardinet,Banlieu,SHAPE_Leng,SHAPE_Area,Nbacs
1,P�RE-MARQUETTE,0798-126,Rosemont� La Petite-Patrie,rue De Drucourt,rue de Bellechasse,rue Marquette,rue de Lanaudi�re,125,,238.37906264800,3550.02559997000,0
2,GEORGES-VANIER,0798-002,Ville-Marie,rue Saint-Antoine,rue Saint-Jacques,rue Jean-D'Estr�es,rue de la Montagne,63,,236.34335568300,2922.42029709000,0
3,VERSAILLES,0798-032,Ville-Marie,rue Saint-Antoine,rue Bonaventure,rue Lucien-L'Allier,rue Versailles,57,,208.92752968600,2172.43389993000,0
4,CENTRE-SUD,0798-047,Ville-Marie,rue La Fontaine,rue Logan,rue De Champlain,rue Alexandre-DeS�ve,44,,149.10514140700,1265.71041326000,3
5,DES 50 CITOYENS,0798-004,Ville-Marie,rue Ontario,rue La Fontaine,rue Alexandre-De-S�ve,rue Plessis,27,,125.64658666400,830.37595001000,3
6,SAINTE-CATHERINE,0798-024,Ville-Marie,rue Robin,boulevard de Maisonneuve,rue Amherst,rue Saint-Thimoth�e,36,,134.79214061300,991.97799995900,16
7,PANET,0587-000,Ville-Marie,rue Ontario,rue Duhamel,rue Plessis,rue Panet,10,,86.78454558180,382.31364296200,0
8,BALDWIN,0798-046,Le Plateau-Mont-Royal,rue Rachel,rue Sherbrooke,rue Chapleau,rue Fullum,45,,169.98260457800,1610.25220002000,0
9,M�D�RIC-MARTIN,0798-252,Ville-Marie,rue de Rouen,rue Ontario,avenue Gascon,rue du havre,37,,143.24268606100,1269.97392152000,2
10,SAINT-EUS�BE,0798-005,Ville-Marie,rue de Rouen,rue Larivi�re,rue Dufresne,place Larivi�re,34,,213.97334022400,1224.69630001000,0
11,SAINTE-MARIE,0798-047,Ville-Marie,rue La Fontaine,rue Logan,rue Dufresne,rue de Fullum,75,,165.12922533200,1348.86109995000,20
12,HOCHELAGA,0798-039,Mercier�Hochelaga-Maisonneuve,rue Ontario,rue la Fontaine,rue Aylwin,rue Cuvillier,27,,155.32729909300,909.11605000000,0
13,MAISONNEUVE,0798-008,Mercier�Hochelaga-Maisonneuve,rue de Rouen,rue Ontario,avenue Bennett,avenue Letourneux,236,,380.68232610800,7773.45439986000,12
14,BASILE-PATENAUDE,0798-012,Rosemont� La Petite-Patrie,place Basile-Patenaud,rue Masson,1re avenue,rue D'Iberville,77,,232.33393300600,2046.99220272000,0
15,DE LORIMIER,0798-050,Le Plateau-Mont-Royal,rue Gilford,avenue du Mont-Royal,avenue de Lorimier,rue de Bordeaux,119,,245.66971168300,3629.45529997000,5
16,RIVARD,0231-000,Le Plateau-Mont-Royal,rue Gilford,rue De Bienville,rue Rivard,rue Saint-Denis,29,,136.60981755200,1002.11825000000,29
18,�TIENNE-DESMARTEAU,0798-206,Rosemont� La Petite-Patrie,rue de Bellechasse,boulevard Rosemont,18e avenue,16e avenue,147,,359.51296095000,5142.80159873000,0
19,DU CARREFOUR,0798-021,Rosemont� La Petite-Patrie,boulevard Rosemont,rue Dandurand,14e avenue,5675 rue Lafond,16,,231.03722414200,1788.88617137000,0
20,DE LA PETITE-BOURGOGNE,0798-029,Le Sud-Ouest,rue Blake,rue Quesnel,boulevard Georges-Vanier,rue du Dominion,30,,162.21494432200,1107.88430001000,0
21,LA L�GUMI�RE ROSE-DE-LIMA,0798-377,Le Sud-Ouest,rue Saint-Jacques,rue Delisle,avenue Greene,rue Rose-de-Lima,88,,204.82232945300,2558.43404998000,0
22,BONS VOISINS,0798-025,Le Sud-Ouest,rue Sainte-�milie,rue Saint-Ambroise,rue Bourget,rue Turgeon,38,,124.96054600400,950.81410001800,0
23,SAINTE-MARIA-GORETTI,0798-051,Rivi�re-des-Prairies�Pointe-aux-Trembles,terrasse Sainte-Maria-Goretti,rue Bureau,96e avenue,94e avenue,24,,123.71290002200,824.07355000400,0
24,PIERRE-LACROIX,0690-000,Rivi�re-des-Prairies�Pointe-aux-Trembles,rue De La Gaucheti�re,rue Parent,rue Pierre-Lacroix,18e avenue,118,,321.52605361600,4749.68735006000,0
25,SOULIGNY,0798-656,Mercier�Hochelaga-Maisonneuve,rue Hochelaga,avenue Souligny,avenue Desroches,,125,,381.98419233000,5715.23319998000,8
26,ARC-EN-SOL,0798-006,Mercier�Hochelaga-Maisonneuve,avenue Pierre-De Coubertin,rue Hochelaga,rue Arcand,rue Desautels,112,,256.09789250400,3596.81775010000,0
27,PIERRE-BERTRAND,0798-100,Mercier�Hochelaga-Maisonneuve,rue Bisaillon,rue Sherbrooke,boulevard Pierre-Bernard,rue Joffre,29,,175.74330851600,1490.53665002000,0
28,DUP�R�,0798-108,Mercier�Hochelaga-Maisonneuve,rue De Forbin-Janson,rue Sherbrooke,rue Saint-Donat,rue  Honor�-Beaugrand,132,,359.31125451100,7567.74930002000,0
29,B.P. T�TREAULVILLE,0798-003,Mercier�Hochelaga-Maisonneuve,rue de Teck,rue de Marseille,rue Aubry,rue Bolduc,60,,254.20843112400,3501.37345000000,0
30,LES DEUX SAPINS,0798-040,Rivi�re-des-Prairies�Pointe-aux-Trembles,boulevard Gouin,boulevard Perras,94e avenue,89e avenue,29,,126.87369889100,988.63469927600,0
31,MARSEILLE,0798-009,Mercier�Hochelaga-Maisonneuve,rue Sherbrooke,rue de Marseille,avenue de la P�pini�re,rue Du Quesne,11,,66.12315611380,235.22839999400,0
